"tool_squareness","tool_symmetry","tool_convexity","tool_eccentricity","obj_circleness","action","effect_X","effect_Y"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
